question_col,runs_col,bleu_col,bleu_hybrid_col,f1_col,f1_hybrid_col
99.0,1.0,5.043788381574437e-155,5.043788381574437e-155,0.1428571428571428,0.1428571428571428
98.0,1.0,5.359624986283916e-155,5.359624986283916e-155,0.15625,0.15625
86.0,1.0,1.619003680903809e-78,1.619003680903809e-78,0.2162162162162162,0.2162162162162162
84.0,0.0,0.0,0.0,0.0,0.0
81.0,1.0,4.777946850498661e-155,4.777946850498661e-155,0.1481481481481481,0.1481481481481481
73.0,0.0,2.495798659449405e-155,0.0,0.1304347826086956,0.0
66.0,1.0,0.1204542217946795,0.1204542217946795,0.25,0.25
64.0,1.0,5.359624986283916e-155,5.359624986283916e-155,0.1538461538461538,0.1538461538461538
6.0,1.0,4.139185597018791e-155,4.139185597018791e-155,0.1153846153846153,0.1153846153846153
56.0,1.0,0.08058372020664,0.08058372020664,0.2222222222222222,0.2222222222222222
49.0,1.0,4.5974134773916556e-155,4.5974134773916556e-155,0.125,0.125
44.0,1.0,1.866567757550146e-155,1.866567757550146e-155,0.1428571428571428,0.1428571428571428
42.0,0.0,4.402140744990259e-155,0.0,0.2093023255813953,0.0
4.0,1.0,2.119966103588302e-155,2.119966103588302e-155,0.1515151515151515,0.1515151515151515
37.0,1.0,5.492530671320408e-155,5.492530671320408e-155,0.1785714285714285,0.1785714285714285
32.0,1.0,5.287667392736108e-155,5.287667392736108e-155,0.1612903225806451,0.1612903225806451
31.0,0.0,5.117896846873718e-155,0.0,0.1739130434782608,0.0
29.0,1.0,5.72773290480137e-155,5.72773290480137e-155,0.2,0.2
23.0,1.0,2.687641376318485e-155,2.687641376318485e-155,0.1395348837209302,0.1395348837209302
68.0,1.0,0.1009082607395899,0.1009082607395899,0.1999999999999999,0.1999999999999999
22.0,1.0,5.642092463903971e-155,5.642092463903971e-155,0.2068965517241379,0.2068965517241379
214.0,0.0,0.0878333575389711,0.0,0.1951219512195122,0.0
210.0,0.0,0.1204475106484208,0.0,0.2142857142857142,0.0
199.0,0.0,1.991053702234824e-155,0.0,0.1538461538461538,0.0
203.0,1.0,5.1945147945938015e-155,5.1945147945938015e-155,0.2,0.2
197.0,1.0,5.23034797529594e-155,5.23034797529594e-155,0.1621621621621621,0.1621621621621621
196.0,1.0,6.709616501577743e-155,6.709616501577743e-155,0.2,0.2
188.0,0.0,0.1718152967132724,0.0,0.2413793103448276,0.0
187.0,1.0,5.1945147945938015e-155,5.1945147945938015e-155,0.1739130434782609,0.1739130434782609
176.0,1.0,4.447844384793538e-155,4.447844384793538e-155,0.1290322580645161,0.1290322580645161
62.0,1.0,4.65988169467104e-155,4.65988169467104e-155,0.1379310344827586,0.1379310344827586
173.0,1.0,2.8442409087371782e-78,2.8442409087371782e-78,0.1851851851851852,0.1851851851851852
168.0,1.0,4.884188340600192e-155,4.884188340600192e-155,0.1724137931034482,0.1724137931034482
166.0,0.0,4.777946850498661e-155,0.0,0.1481481481481481,0.0
160.0,1.0,5.043788381574437e-155,5.043788381574437e-155,0.1818181818181818,0.1818181818181818
158.0,1.0,4.550160538169341e-155,4.550160538169341e-155,0.1333333333333333,0.1333333333333333
